image,subject,confidence
2019-01-27_16-27-00_UTC_1_styled_1.jpg,hand-held computer,0.918060302734375
2023-02-07_18-13-46_UTC.jpg,traffic light,0.7747000455856323
2014-12-17_00-27-44_UTC.jpg,wok,0.20560261607170105
2018-10-19_01-49-59_UTC_1.jpg,hand-held computer,0.317918062210083
2017-06-23_03-46-40_UTC.jpg,hand-held computer,0.2375980168581009
2015-04-13_15-02-26_UTC.jpg,traffic light,0.7110036611557007
2023-11-12_23-06-11_UTC.jpg,stethoscope,0.49886876344680786
2015-10-19_03-07-41_UTC.jpg,hook,0.18821637332439423
2023-10-21_02-39-07_UTC_4.jpg,bookshop,0.28254905343055725
2023-11-17_03-52-28_UTC.jpg,dome,0.27066394686698914
2014-06-22_22-07-26_UTC.jpg,ballpoint,0.14391709864139557
2023-10-29_22-23-14_UTC_3.jpg,fire engine,0.2860051989555359
2014-12-01_03-17-32_UTC.jpg,traffic light,0.47020280361175537
2025-01-16_20-18-15_UTC_1.jpg,web site,0.5436617732048035
2015-12-24_16-19-42_UTC.jpg,electric ray,0.13669216632843018
2015-05-28_22-25-39_UTC.jpg,dial telephone,0.22541576623916626
2014-05-27_20-11-59_UTC.jpg,entertainment center,0.4883371591567993
2023-10-29_22-23-14_UTC_2.jpg,coffeepot,0.17378903925418854
2016-05-22_02-18-22_UTC.jpg,power drill,0.4661043584346771
2015-12-25_01-33-13_UTC.jpg,traffic light,0.4175376892089844
2014-02-27_04-45-37_UTC.jpg,shovel,0.19477127492427826
2019-04-18_01-06-04_UTC.jpg,cloak,0.20082032680511475
2021-04-05_22-26-33_UTC.jpg,traffic light,0.27116912603378296
2023-10-21_02-39-07_UTC_5.jpg,power drill,0.6288346648216248
2015-02-27_22-18-50_UTC.jpg,traffic light,0.17737559974193573
2015-10-26_02-13-12_UTC.jpg,hook,0.4787798523902893
2018-08-06_01-03-42_UTC.jpg,hook,0.16852150857448578
2014-05-07_17-57-39_UTC.jpg,entertainment center,0.6784502863883972
2018-01-13_19-42-55_UTC_2.jpg,traffic light,0.2751163840293884
2019-11-20_23-56-21_UTC.jpg,hand-held computer,0.16132305562496185
2014-07-06_04-52-49_UTC.jpg,mosque,0.22733379900455475
2015-10-24_01-22-19_UTC.jpg,traffic light,0.11640678346157074
2018-11-18_04-06-44_UTC_styled_1.jpg,hand-held computer,0.1755606234073639
2018-09-02_01-57-18_UTC.jpg,photocopier,0.265963077545166
2015-08-22_03-23-49_UTC.jpg,power drill,0.3514869809150696
2015-02-01_23-20-31_UTC.jpg,traffic light,0.5093749165534973
2015-11-28_03-57-05_UTC.jpg,shower cap,0.3141423165798187
2024-03-05_17-06-23_UTC.jpg,traffic light,0.5729232430458069
2018-03-23_01-27-28_UTC.jpg,whistle,0.6390729546546936
2014-06-03_02-49-54_UTC.jpg,tiger shark,0.6247151494026184
2017-07-03_17-38-06_UTC.jpg,mailbox,0.3455811142921448
2019-03-15_22-09-45_UTC.jpg,book jacket,0.5237848162651062
2015-08-18_04-09-09_UTC.jpg,saltshaker,0.16528943181037903
2015-12-19_18-07-27_UTC.jpg,basketball,0.07982872426509857
2018-07-16_01-29-45_UTC.jpg,power drill,0.22963875532150269
2015-06-04_00-45-17_UTC.jpg,wombat,0.8227900862693787
2021-04-09_21-52-01_UTC.jpg,wombat,0.2613504230976105
2021-04-17_01-59-14_UTC.jpg,hand-held computer,0.141633540391922
2018-07-19_01-49-32_UTC_1.jpg,shovel,0.1826774775981903
2015-02-26_05-24-02_UTC.jpg,valley,0.23238401114940643
2015-03-03_01-25-48_UTC.jpg,traffic light,0.4013233184814453
2017-12-19_20-42-22_UTC_3.jpg,mosque,0.7388283610343933
2018-08-22_17-46-51_UTC.jpg,entertainment center,0.11122539639472961
2014-07-29_03-13-59_UTC.jpg,wombat,0.15503355860710144
2015-01-13_23-30-23_UTC.jpg,bath towel,0.3028548061847687
2015-04-19_21-53-51_UTC.jpg,American alligator,0.37551891803741455
2025-01-08_17-35-40_UTC.jpg,digital watch,0.23572227358818054
2018-03-20_01-37-53_UTC.jpg,frying pan,0.5263083577156067
2015-07-14_00-25-15_UTC.jpg,traffic light,0.14161591231822968
2016-11-13_17-25-35_UTC.jpg,rocking chair,0.5119100213050842
2019-03-02_21-14-24_UTC.jpg,shower cap,0.4480692446231842
2015-12-07_06-01-05_UTC.jpg,marimba,0.20446917414665222
2014-02-14_05-14-17_UTC.jpg,traffic light,0.2281615287065506
2015-07-27_03-03-02_UTC.jpg,power drill,0.4014967978000641
2015-10-17_21-14-00_UTC.jpg,whistle,0.18288955092430115
2014-07-30_20-21-19_UTC.jpg,honeycomb,0.14127685129642487
2019-05-13_15-27-48_UTC.jpg,web site,0.0607297420501709
2019-03-10_01-15-54_UTC.jpg,vault,0.3977544605731964
2015-06-17_23-28-56_UTC.jpg,plow,0.272350013256073
2024-12-14_02-56-35_UTC.jpg,vault,0.35580483078956604
2018-11-26_20-21-28_UTC.jpg,hand-held computer,0.5342608690261841
2017-06-28_23-10-08_UTC.jpg,marimba,0.8048223853111267
2023-09-16_16-06-22_UTC.jpg,traffic light,0.5819463133811951
2014-12-29_21-31-17_UTC.jpg,traffic light,0.2931212782859802
2024-05-05_18-19-32_UTC.jpg,traffic light,0.45036497712135315
2023-10-25_01-36-36_UTC.jpg,traffic light,0.12623190879821777
