image_name,main_subject,confidence,detected_objects
2015-05-19_00-54-19_UTC.jpg,traffic light,0.39,
2015-07-12_17-57-05_UTC.jpg,ski,0.13,
2014-06-04_22-11-48_UTC.jpg,shovel,0.65,
2017-06-29_23-06-54_UTC.jpg,marimba,0.58,
2014-07-10_18-44-40_UTC.jpg,hook,0.80,
2016-05-20_00-35-18_UTC.jpg,breakwater,0.09,
2023-09-07_16-38-27_UTC.jpg,traffic light,0.59,
2015-05-28_02-06-07_UTC.jpg,traffic light,0.31,
2023-03-03_19-22-09_UTC.jpg,shower cap,0.14,
2017-12-19_20-42-22_UTC_1.jpg,car mirror,0.12,
2018-03-03_00-24-42_UTC.jpg,bassoon,0.24,
2015-10-13_15-13-09_UTC.jpg,power drill,0.52,
2023-11-01_23-40-55_UTC_2.jpg,hand-held computer,0.20,
2016-01-24_19-15-21_UTC.jpg,vacuum,0.25,
2015-05-15_16-08-43_UTC.jpg,iron,0.21,
2018-07-07_03-16-39_UTC.jpg,hook,0.27,
2016-03-24_16-41-06_UTC.jpg,traffic light,0.27,
2018-07-15_02-29-22_UTC.jpg,marimba,0.19,
2023-10-22_23-43-10_UTC_2.jpg,power drill,0.08,
2023-10-22_23-43-10_UTC_6.jpg,hand-held computer,0.17,
2015-04-22_15-34-49_UTC.jpg,marimba,0.15,
2015-06-05_04-19-46_UTC.jpg,traffic light,0.58,
2015-08-26_06-03-21_UTC.jpg,throne,0.24,
2014-04-21_00-15-32_UTC.jpg,shovel,0.20,
2015-04-26_06-50-27_UTC.jpg,traffic light,0.54,
2014-10-15_23-45-43_UTC.jpg,plastic bag,0.47,
2015-03-04_04-48-43_UTC.jpg,carbonara,0.48,
2014-12-13_19-01-26_UTC.jpg,power drill,0.85,
2024-05-08_17-06-01_UTC.jpg,shovel,0.18,
2015-02-17_14-29-16_UTC.jpg,traffic light,0.83,
2017-12-15_04-32-50_UTC_2.jpg,trailer truck,0.30,
2015-07-24_05-24-15_UTC.jpg,fire engine,0.77,
2015-07-23_00-27-54_UTC.jpg,shower cap,0.51,
2015-01-13_04-54-03_UTC.jpg,marimba,0.38,
2018-03-19_04-43-14_UTC.jpg,marimba,0.84,
2015-07-29_00-09-46_UTC.jpg,marimba,0.37,
2014-11-16_00-22-45_UTC.jpg,traffic light,0.74,
2016-07-11_02-13-41_UTC.jpg,ski,0.45,
2016-07-03_15-56-33_UTC.jpg,shovel,0.23,
2014-12-21_20-35-00_UTC.jpg,marimba,0.82,
2016-09-08_18-44-37_UTC.jpg,airship,0.14,
2018-03-01_03-11-02_UTC.jpg,whistle,0.49,
2015-01-01_23-31-32_UTC.jpg,marimba,0.93,
2014-11-28_21-36-28_UTC.jpg,marimba,0.28,
2019-04-23_00-12-45_UTC.jpg,shovel,0.06,
2016-06-14_22-37-20_UTC.jpg,oscilloscope,0.09,
2014-11-26_20-01-54_UTC.jpg,marimba,0.65,
2015-01-16_21-48-52_UTC.jpg,trailer truck,0.10,
2014-05-23_01-30-03_UTC.jpg,acorn,0.36,
2015-02-16_01-34-07_UTC.jpg,valley,0.80,
2014-07-15_02-07-52_UTC.jpg,entertainment center,0.10,
2015-02-14_20-19-35_UTC.jpg,traffic light,0.77,
2019-11-16_15-41-25_UTC.jpg,traffic light,0.32,
2014-06-04_14-10-15_UTC.jpg,marimba,0.61,
2023-08-05_00-34-50_UTC.jpg,traffic light,0.14,
2015-07-19_04-10-18_UTC.jpg,traffic light,0.25,
2014-12-03_00-20-08_UTC.jpg,marimba,0.23,
2014-01-23_23-15-18_UTC.jpg,traffic light,0.38,
2015-02-17_21-30-11_UTC.jpg,traffic light,0.57,
2014-11-22_01-09-07_UTC.jpg,traffic light,0.94,
2015-08-28_17-50-41_UTC.jpg,marimba,0.22,
2015-10-16_02-16-02_UTC.jpg,liner,0.14,
2018-09-28_00-37-22_UTC.jpg,stethoscope,0.20,
2014-10-08_16-04-53_UTC.jpg,web site,0.23,
2015-07-15_22-04-25_UTC.jpg,ladle,0.38,
2017-12-09_19-35-16_UTC.jpg,traffic light,0.26,
2018-07-19_01-49-32_UTC_4.jpg,hook,0.25,
2024-02-28_14-45-00_UTC.jpg,marimba,0.27,
2014-11-30_04-58-25_UTC.jpg,traffic light,0.33,
2014-11-26_04-52-29_UTC.jpg,traffic light,0.21,
2021-09-03_15-14-11_UTC.jpg,lycaenid,0.33,
2014-12-08_12-33-17_UTC.jpg,marimba,0.76,
2014-06-08_16-31-39_UTC.jpg,vase,0.16,
2014-11-22_00-03-00_UTC.jpg,marimba,0.27,
2015-07-06_22-02-12_UTC.jpg,vacuum,0.04,
2015-08-05_02-39-54_UTC.jpg,shower cap,0.13,
2015-02-14_23-30-18_UTC.jpg,waffle iron,0.27,
2017-05-04_23-14-45_UTC.jpg,entertainment center,0.35,
2014-07-27_21-36-14_UTC.jpg,home theater,0.28,
2014-11-28_23-37-31_UTC_styled_1.jpg,face powder,0.07,
2018-11-09_22-05-47_UTC.jpg,quail,0.31,
2017-09-14_14-38-46_UTC.jpg,traffic light,0.89,
2014-12-31_21-52-33_UTC.jpg,marimba,0.53,
2024-04-19_13-44-31_UTC.jpg,waffle iron,0.09,
2021-05-08_20-23-58_UTC.jpg,traffic light,0.45,
2015-05-18_01-01-38_UTC.jpg,shovel,0.35,
2023-09-08_11-19-56_UTC.jpg,hand-held computer,0.21,
2015-12-04_21-30-21_UTC.jpg,marimba,0.17,
2014-07-03_01-18-58_UTC.jpg,packet,0.21,
2025-01-12_18-38-54_UTC.jpg,traffic light,0.46,
2015-10-06_04-55-23_UTC.jpg,hand-held computer,0.14,
2024-12-01_23-58-57_UTC.jpg,power drill,0.15,
2014-11-08_03-02-31_UTC.jpg,traffic light,0.44,
2015-05-17_17-13-29_UTC.jpg,dial telephone,0.32,
2014-11-30_06-34-12_UTC.jpg,marimba,0.23,
2019-11-19_22-34-49_UTC.jpg,Indian cobra,0.15,
2018-02-19_23-00-48_UTC.jpg,whistle,0.31,
2017-05-08_23-45-57_UTC.jpg,pill bottle,0.40,
2014-12-31_03-15-52_UTC.jpg,traffic light,0.69,
2015-06-11_17-24-54_UTC.jpg,traffic light,0.96,
2016-07-12_03-27-45_UTC.jpg,shovel,0.36,
2015-09-28_03-43-17_UTC.jpg,marimba,0.35,
2023-09-13_14-49-17_UTC.jpg,traffic light,0.60,
2014-11-28_21-38-34_UTC.jpg,marimba,0.94,
2017-06-25_22-36-16_UTC.jpg,ping-pong ball,0.09,
2014-06-13_23-12-33_UTC.jpg,shovel,0.77,
2019-11-09_00-20-07_UTC.jpg,jersey,0.15,
2015-02-12_16-31-24_UTC.jpg,traffic light,0.21,
2014-12-11_03-14-06_UTC.jpg,vacuum,0.17,
2016-05-07_04-17-50_UTC.jpg,paintbrush,0.23,
2023-11-01_00-07-50_UTC_2.jpg,power drill,0.36,
2024-12-15_02-01-53_UTC.jpg,traffic light,0.25,
2025-01-06_00-14-19_UTC.jpg,traffic light,0.40,
2014-06-15_04-48-03_UTC.jpg,dial telephone,0.33,
2014-11-12_16-17-13_UTC.jpg,whistle,0.30,
2016-11-25_17-06-12_UTC.jpg,traffic light,0.20,
2014-11-19_00-07-09_UTC.jpg,marimba,0.30,
2023-10-16_22-00-43_UTC.jpg,traffic light,0.37,
2014-09-05_01-28-30_UTC.jpg,traffic light,0.14,
2018-09-04_18-57-35_UTC.jpg,marimba,0.10,
2021-09-02_16-37-38_UTC.jpg,lycaenid,0.28,
2018-03-05_02-29-10_UTC.jpg,whistle,0.18,
2019-01-24_20-36-45_UTC.jpg,entertainment center,0.19,
2016-01-05_08-17-14_UTC.jpg,bolo tie,0.33,
2016-11-17_04-44-03_UTC.jpg,bassoon,0.18,
2015-04-19_01-34-12_UTC.jpg,traffic light,0.18,
2023-10-25_19-19-34_UTC_2.jpg,traffic light,0.46,
2014-11-29_01-04-34_UTC.jpg,marimba,0.68,
2015-02-07_00-20-22_UTC.jpg,wooden spoon,0.14,
2015-04-12_03-37-57_UTC.jpg,marimba,0.38,
2015-08-01_19-29-04_UTC.jpg,traffic light,0.72,
2014-12-30_22-43-24_UTC.jpg,marimba,0.54,
2015-02-23_04-11-46_UTC.jpg,bath towel,0.20,
2014-09-02_07-13-01_UTC.jpg,wombat,0.35,
2014-11-18_01-06-26_UTC.jpg,traffic light,0.81,
2015-09-10_21-35-57_UTC.jpg,wallet,0.33,
2023-11-03_21-24-20_UTC.jpg,hand-held computer,0.48,
2014-05-18_18-43-16_UTC.jpg,marimba,0.42,
2018-12-04_01-47-07_UTC.jpg,wombat,0.41,
2014-12-19_20-10-30_UTC.jpg,teapot,0.17,
2014-12-30_17-07-14_UTC.jpg,vault,0.61,
2015-08-09_05-02-28_UTC.jpg,strawberry,0.16,
2023-09-27_16-18-34_UTC.jpg,traffic light,0.24,
2023-11-01_00-07-50_UTC_3.jpg,shower cap,0.40,
2015-10-07_23-15-07_UTC.jpg,traffic light,0.89,
2015-04-10_01-10-20_UTC.jpg,traffic light,0.83,
2019-03-24_02-12-04_UTC.jpg,mosque,0.09,
2015-07-19_18-42-55_UTC.jpg,hand-held computer,0.46,
2014-05-06_14-36-31_UTC.jpg,pedestal,0.16,
2014-01-08_22-53-55_UTC.jpg,flatworm,0.14,
2023-11-10_03-01-36_UTC.jpg,fire engine,0.23,
2021-03-25_00-22-44_UTC.jpg,power drill,0.13,
2018-08-04_02-56-16_UTC.jpg,guillotine,0.23,
2014-06-01_06-16-25_UTC.jpg,harvestman,0.76,
2015-04-20_21-01-29_UTC.jpg,traffic light,0.30,
2014-07-03_01-24-40_UTC.jpg,traffic light,0.42,
2018-04-05_21-40-16_UTC.jpg,whistle,0.47,
2021-07-02_22-29-23_UTC.jpg,marimba,0.25,
2015-05-12_21-08-22_UTC.jpg,traffic light,0.74,
2015-09-25_05-04-23_UTC.jpg,marimba,0.42,
2014-12-19_04-10-40_UTC.jpg,marimba,0.08,
2016-04-28_22-03-27_UTC.jpg,microwave,0.40,
2024-12-16_23-59-04_UTC.jpg,traffic light,0.07,
